City,Latitude,Longitude,Temperature,Feels Like,Humidity,Pressure,Wind Speed,Cloudiness
Rikitea,-23.12,-134.97,77.13,73.98,77,1018,18.57,54
Vangaindrano,-23.35,47.6,74.14,78.49,86,1013,5.53,57
Hobart,-42.88,147.33,58.51,55.56,82,1016,6.93,20
Redlands,34.06,-117.18,63.86,57.85,31,1020,4.5,5
Port Alfred,-33.59,26.89,73.0,79.18,93,1007,3.36,100
Jamestown,42.1,-79.24,33.73,27.99,86,1014,3.36,90
Port Elizabeth,-33.92,25.57,73.4,77.94,94,1009,6.93,100
Hilo,19.73,-155.09,71.67,72.81,78,1022,6.93,90
St. Pete Beach,27.73,-82.74,61.93,52.27,42,1017,12.75,1
Arraial do Cabo,-22.97,-42.03,79.57,83.52,83,1011,10.29,0
East London,-33.02,27.91,76.89,78.85,68,1010,6.31,100
Ninghai,29.29,121.42,49.57,47.37,99,994,3.71,100
Klaksvík,62.23,-6.59,41.0,33.31,100,1031,10.07,81
Tura,25.52,90.22,62.1,61.14,66,1013,2.13,66
Havøysund,71.0,24.66,39.2,25.52,80,1024,18.34,75
Buin,-33.73,-70.75,88.0,84.11,27,1012,6.93,20
Ushuaia,-54.8,-68.3,53.6,36.95,50,1008,24.16,40
Codrington,-38.27,141.97,57.49,49.71,83,1016,15.12,100
Turbat,26.0,63.04,52.75,41.97,29,1019,10.51,0
Kaitangata,-46.28,169.85,57.99,56.14,78,1017,4.0,100
Port Hedland,-20.32,118.57,80.6,73.83,54,1006,19.46,40
Tasiilaq,65.61,-37.64,19.4,5.61,57,1015,13.87,100
Bedi,22.5,70.05,65.57,57.69,46,1013,11.61,0
Busselton,-33.65,115.33,58.28,55.22,82,1021,7.0,0
Faanui,-16.48,-151.75,80.73,79.59,78,1014,18.59,100
Paralímni,35.04,33.98,58.96,57.88,93,1019,5.82,0
Ballarat,-37.57,143.85,57.69,57.02,97,1012,5.01,100
Pandan,14.05,124.17,79.03,80.42,82,1011,13.96,29
Porto-Novo,6.5,2.6,84.2,89.51,83,1009,12.75,40
Mongu,-15.25,23.13,69.24,72.63,86,1010,3.29,50
Saint Anthony,45.02,-93.22,36.79,28.92,74,1010,6.93,20
Khatanga,71.97,102.5,-8.93,-22.25,87,1031,11.77,61
Lázaro Cárdenas,17.96,-102.2,83.19,83.62,60,1012,10.92,0
Christchurch,-43.53,172.63,64.06,61.02,72,1019,8.05,100
Upernavik,72.79,-56.15,14.43,0.64,82,1004,14.2,100
Kaeo,-35.1,173.78,73.0,76.6,76,1021,3.0,0
Saint Paul Harbor,57.79,-152.41,28.4,22.44,100,979,3.36,75
Cam Ranh,11.92,109.16,77.0,79.12,88,1012,12.75,40
Manaure,11.78,-72.44,84.43,77.11,40,1009,17.18,0
Puerto Ayora,-0.74,-90.35,78.35,79.36,65,1010,8.05,20
Sambava,-14.27,50.17,74.97,79.09,83,1011,5.75,3
Dingle,11.0,122.67,74.66,79.66,93,1009,6.98,49
Butaritari,3.07,172.79,81.25,80.62,80,1010,18.95,41
Mataura,-46.19,168.86,55.0,55.29,92,1020,1.01,100
Hithadhoo,-0.6,73.08,82.67,86.16,74,1007,10.67,100
Iqaluit,63.75,-68.51,-18.4,-29.25,68,1017,6.93,20
Punta Arenas,-53.15,-70.92,53.6,39.92,54,1014,19.46,0
Bengkulu,-3.8,102.27,76.86,82.47,84,1007,5.1,89
Mehamn,71.04,27.85,39.2,26.15,80,1025,17.22,90
Thinadhoo,0.53,72.93,82.06,88.25,74,1007,5.3,100
Port Macquarie,-31.43,152.92,71.87,79.2,99,1006,1.99,24
Fortuna,40.6,-124.16,50.76,46.8,87,1013,5.82,75
Thompson,55.74,-97.86,3.2,-7.1,77,1006,6.93,90
San Matías,-16.37,-58.4,93.49,95.13,42,1004,7.99,61
Muyezerskiy,63.93,31.65,9.23,1.76,96,1034,2.82,87
Portland,45.52,-122.68,49.37,42.4,76,1006,9.17,75
Albany,42.6,-73.97,34.95,29.37,84,1012,3.22,94
Severo-Yeniseyskiy,60.37,93.04,-26.07,-34.94,82,1056,3.33,85
Tuktoyaktuk,69.45,-133.04,-22.0,-32.26,74,1006,5.82,75
Waterloo,43.47,-80.52,32.99,27.14,86,1014,3.36,90
Leningradskiy,69.38,178.42,-7.29,-18.62,86,1013,8.3,100
Bandrele,-12.91,45.19,80.6,84.7,78,1010,9.17,0
Muros,42.78,-9.06,34.41,25.75,96,1015,9.4,3
Kumbo,6.2,10.67,63.77,58.71,38,1010,4.27,1
Quatre Cocos,-20.21,57.76,77.0,80.83,83,1013,8.05,75
Qaanaaq,77.48,-69.36,-6.05,-14.84,80,1013,3.76,3
Aklavik,68.22,-135.01,-19.35,-28.95,75,1005,4.7,100
Bluff,-46.6,168.33,55.0,55.29,92,1020,1.01,100
La Romana,18.43,-68.97,80.6,80.69,65,1013,11.41,40
Wanaka,-44.7,169.15,57.0,55.83,76,1017,1.99,100
Samarai,-10.62,150.67,83.39,85.89,72,1008,12.33,98
Sioux Lookout,50.1,-91.92,33.8,24.55,80,1002,9.17,40
Keflavik,64.0,-22.56,36.25,25.72,72,1023,11.41,75
Atuona,-9.8,-139.03,77.92,75.56,77,1014,17.85,48
Bereda,43.27,-7.54,33.69,29.8,100,1015,1.01,6
Nuuk,64.18,-51.72,26.6,11.12,92,1010,19.46,90
Mar del Plata,-38.0,-57.56,69.44,68.63,88,1012,11.41,90
Souillac,-20.52,57.52,77.0,80.83,83,1013,8.05,75
Haines Junction,60.75,-137.51,11.19,4.06,91,991,2.3,100
Oranjemund,-28.55,16.43,66.27,67.78,87,1011,4.7,96
Coquimbo,-29.95,-71.34,66.2,61.43,68,1014,11.41,75
Kashgar,39.45,75.98,17.6,9.72,92,1036,4.47,90
Mór,47.38,18.2,40.17,35.33,100,1011,4.7,75
Sur,22.57,59.53,67.3,59.29,41,1017,11.27,0
Yulara,-25.24,130.99,73.4,65.57,31,1013,10.29,32
Cape Town,-33.93,18.42,69.44,63.34,88,1008,20.8,20
Mount Gambier,-37.83,140.77,55.4,47.77,76,1016,12.75,90
La Ronge,55.1,-105.28,11.3,3.83,66,1008,2.24,13
Lagos,6.58,3.75,80.65,86.94,83,1009,7.23,0
Jayanca,-6.39,-79.82,79.97,73.67,61,1010,20.8,0
Ancud,-41.87,-73.82,61.47,52.81,45,1021,11.41,0
Marawi,8.0,124.29,73.0,78.03,95,1008,5.99,100
Peace River,56.25,-117.29,15.8,7.52,85,999,4.7,75
Sobolevo,54.43,31.9,32.95,25.07,96,1026,7.63,100
Pevek,69.7,170.31,-18.18,-28.61,89,1017,6.29,100
Hermanus,-34.42,19.23,72.0,75.15,83,1010,5.01,22
Hong Kong,22.29,114.16,61.36,59.11,75,1019,5.86,36
Coyhaique,-45.58,-72.07,71.6,63.93,30,1020,9.17,0
Forestville,38.85,-76.88,44.69,39.47,65,1015,3.36,90
Vanimo,-2.67,141.3,77.92,84.11,84,1008,5.06,97
Laas,46.62,10.7,25.0,19.09,85,1004,1.79,5
Yellowknife,62.46,-114.35,-18.9,-30.37,75,1005,8.05,40
Kapaa,22.08,-159.32,77.77,78.69,69,1022,9.17,40
Beringovskiy,63.05,179.32,-6.9,-23.82,90,1002,18.3,80
Kokopo,-4.35,152.26,78.8,84.97,79,1009,4.18,92
Avera,33.19,-82.53,57.38,48.79,33,1016,8.05,1
Envira,-7.3,-70.22,83.86,92.52,75,1004,3.09,87
Altamira,-3.2,-52.21,86.0,93.49,66,1008,3.36,20
Ribeira Grande,38.52,-28.7,60.8,50.65,93,1004,23.04,75
Iracoubo,5.48,-53.2,79.77,83.73,78,1008,8.63,5
Cabo San Lucas,22.89,-109.91,75.74,74.08,49,1017,5.82,20
Kruisfontein,-34.0,24.73,73.0,78.57,88,1009,3.0,87
Narsaq,60.92,-46.05,26.6,17.19,58,1021,6.93,75
Templemore,52.79,-7.83,34.32,29.14,93,1026,3.0,72
Lebu,-37.62,-73.65,58.68,44.67,66,1015,23.78,0
Ponta do Sol,32.67,-17.1,60.06,58.82,82,1006,4.7,20
Chokurdakh,70.63,147.92,-30.44,-43.04,85,1024,9.89,15
Barrow,71.29,-156.79,-7.6,-17.79,83,1004,6.22,90
Carnaíba,-8.7,-37.67,86.7,79.54,37,1009,16.82,0
Cherskiy,68.75,161.3,-29.47,-39.35,85,1023,5.08,100
Pittsburg,38.03,-121.88,58.57,53.1,82,1019,11.41,90
Saldanha,-33.01,17.94,66.2,65.14,82,1007,8.05,0
Lagoa,39.05,-27.98,61.25,48.96,85,1006,25.57,93
Grand Gaube,-20.01,57.66,77.0,79.56,76,1012,8.01,43
Husavik,66.04,-17.34,39.2,27.09,60,1020,13.87,40
Srednekolymsk,67.45,153.68,-26.97,-36.9,85,1026,5.19,99
Bethel,41.37,-73.41,37.2,28.13,74,1014,9.17,75
Kondinskoye,59.65,67.41,-9.4,-20.7,89,1053,8.19,90
Pisco,-13.7,-76.22,76.75,73.2,65,1011,14.99,40
Katsina,12.99,7.6,74.48,66.6,19,1010,7.05,6
Teahupoo,-17.83,-149.27,82.4,84.85,69,1015,10.29,90
Esperance,-33.87,121.9,57.2,52.61,82,1024,9.17,90
Jefferson City,38.58,-92.17,38.57,31.3,86,1015,7.31,90
Vao,-22.67,167.48,79.14,78.55,87,1009,19.37,52
Zhireken,52.82,117.31,-15.2,-22.88,87,1033,1.52,99
Xuzhou,34.18,117.16,28.31,17.94,91,1033,10.67,56
Pampas,-12.4,-74.9,59.27,54.93,65,1009,6.71,90
Nikolayevka,53.13,47.2,26.35,16.99,96,1038,8.75,100
Vaini,-21.2,-175.2,80.6,86.81,88,1008,9.17,75
Geraldton,-28.77,114.6,73.4,62.53,40,1010,18.34,0
Riyadh,24.69,46.72,59.0,55.78,58,1020,3.36,40
Pahrump,36.21,-115.98,63.99,57.99,24,1018,3.0,0
The Valley,18.22,-63.06,77.29,72.0,44,1013,11.41,20
Manthani,18.65,79.67,63.48,63.66,78,1013,3.29,84
Atakpamé,7.53,1.13,83.68,84.31,51,1008,7.23,22
Kupang,-10.17,123.58,80.24,87.58,83,1006,4.92,95
Arinos,-15.92,-46.11,77.88,83.88,75,1011,2.3,100
Ostrovnoy,68.05,39.51,10.42,-1.61,94,1033,10.98,15
Ulaanbaatar,47.91,106.88,-23.8,-32.08,67,1022,2.24,75
Zabul Province,32.25,67.25,33.01,25.95,90,1022,5.79,31
Longyearbyen,78.22,15.64,33.8,7.23,69,987,39.15,75
Luganville,-15.53,167.17,78.8,88.56,94,1009,3.13,75
Hammerfest,70.66,23.68,39.2,25.52,80,1024,18.34,75
Kapuskasing,49.42,-82.43,35.6,25.32,80,1007,11.41,81
Kaduqli,11.02,29.72,76.12,67.93,24,1009,9.53,0
Zharkent,44.16,80.0,5.36,-1.32,69,1037,0.47,0
Wiwilí,13.63,-85.83,71.6,71.15,68,1011,6.93,40
Provideniya,64.38,-173.3,-4.31,-18.8,85,998,14.05,0
Pacific Grove,36.62,-121.92,59.22,54.81,72,1021,8.05,90
Jutaí,-5.18,-68.9,83.79,91.96,69,1005,1.39,81
Cockburn Town,21.46,-71.14,76.71,74.82,68,1015,13.0,0
New Norfolk,-42.78,147.06,57.0,55.08,68,1016,1.99,54
Inuvik,68.35,-133.72,-19.32,-28.91,75,1006,4.7,100
Blackfoot,43.19,-112.34,30.96,21.45,64,1017,8.05,75
Saint-Leu,-21.15,55.28,73.62,73.65,74,1012,9.17,90
Airai,-8.93,125.41,62.55,66.15,100,1007,1.16,98
Katsuura,35.13,140.3,41.0,34.27,60,1021,4.7,75
Constitución,-35.33,-72.42,66.27,54.03,48,1011,20.07,0
Kita,13.03,-9.49,80.65,74.55,19,1010,5.19,0
Bambous Virieux,-20.34,57.76,77.0,80.83,83,1013,8.05,75
Kibala,9.11,18.35,75.2,73.44,44,1009,4.16,0
Cap Malheureux,-19.98,57.61,77.0,79.56,76,1012,8.01,43
Tirumullaivāsal,11.23,79.83,76.1,79.63,91,1010,10.38,100
Shache,38.42,77.24,17.87,7.48,90,1042,8.86,100
Chui,-33.7,-53.46,75.45,71.82,72,1009,16.46,98
Mitsamiouli,-11.38,43.28,82.53,88.81,71,1010,4.38,64
Belyy Yar,53.6,91.39,-22.0,-31.5,74,1057,4.47,90
Khani,41.96,42.96,53.6,32.65,30,1023,28.86,0
Utinga,-5.82,-35.4,82.4,82.69,74,1011,16.11,40
Carnarvon,-24.87,113.63,71.6,75.22,94,1004,6.93,75
Rawson,-43.3,-65.1,64.08,50.52,42,1020,20.31,0
Quirinópolis,-18.45,-50.45,82.0,85.28,65,1008,6.89,100
Hambantota,6.12,81.12,76.89,82.67,84,1007,4.83,80
Ahipara,-35.17,173.17,71.82,73.58,59,1021,0.6,0
Kandiaro,27.06,68.21,54.36,47.21,39,1015,5.84,0
Kampot,10.62,104.18,78.8,78.91,69,1009,11.41,40
Saint-Augustin,51.23,-58.65,19.69,13.53,93,1022,1.72,17
Nicoya,10.15,-85.45,89.6,84.38,46,1008,19.46,20
Primorskoye,47.17,37.69,34.0,18.73,53,1022,18.01,98
Castro,-24.79,-50.01,69.31,72.09,80,1010,2.89,100
Nikolskoye,59.7,30.79,28.71,20.07,74,1029,6.71,75
Lodwar,3.12,35.6,82.9,80.1,46,1009,10.78,11
Oranjestad,12.52,-70.03,80.6,78.89,69,1011,16.11,20
Angoche,-16.23,39.91,79.54,86.5,81,1011,4.16,81
Dunga Bunga,29.75,73.24,57.78,55.78,89,1014,6.04,0
Fairbanks,64.84,-147.72,-11.02,-19.14,76,990,2.33,40
Los Llanos de Aridane,28.66,-17.92,64.42,63.5,73,1010,4.7,40
Dunedin,-45.87,170.5,54.45,49.66,88,1019,9.1,100
Cayenne,4.93,-52.33,84.2,86.74,74,1009,13.87,75
El Cobre,20.05,-75.95,86.0,86.83,45,1013,5.82,20
Srandakan,-7.94,110.25,76.82,83.57,85,1006,3.38,98
Itaituba,-4.28,-55.98,87.8,91.29,62,1007,10.29,40
Antalaha,-14.9,50.28,73.54,76.96,84,1012,6.08,37
Avarua,-21.21,-159.78,84.2,82.33,66,1014,18.34,90
Cidreira,-30.18,-50.21,75.22,69.91,72,1010,19.26,95
Port Hardy,50.7,-127.42,45.7,39.87,75,1000,5.82,75
Moundsville,39.92,-80.74,35.83,29.12,74,1015,4.7,90
Novy Urengoy,66.08,76.63,-19.28,-31.79,88,1052,9.95,32
La Paz,-16.5,-68.15,64.4,55.83,31,1031,9.17,75
Sorong,-0.88,131.25,80.33,86.72,81,1007,5.95,96
Torbay,47.67,-52.73,31.21,17.19,100,1018,18.34,90
Yeppoon,-23.13,150.73,77.0,82.4,88,1008,6.93,95
Trairi,-3.28,-39.27,80.29,82.53,76,1009,11.45,13
Øksfjord,70.24,22.35,39.31,33.85,75,1025,3.36,75
Acaraú,-2.89,-40.12,81.27,80.82,72,1008,15.59,87
Rosetown,51.55,-108.0,19.67,11.41,73,1010,4.7,0
Lufilufi,-13.87,-171.6,86.0,95.5,74,1011,3.36,40
San Jerónimo,-11.95,-75.28,58.93,55.99,62,1010,3.53,100
Sarakhs,36.54,61.16,29.84,23.0,88,1035,4.54,0
Ugoofaaru,5.67,73.0,81.55,85.84,78,1007,9.75,100
Weihai,37.5,122.11,26.92,14.25,89,1034,14.38,100
Artyom,40.47,50.33,35.6,28.56,67,1035,4.7,75
Sepuka,-4.75,34.53,64.08,65.41,85,1012,3.11,79
Saint-Pierre,-21.34,55.48,74.05,74.26,74,1012,9.17,90
Lompoc,34.64,-120.46,59.34,56.12,77,1023,6.93,90
Kaohsiung City,22.62,120.31,61.88,58.73,88,1016,10.29,40
Wewak,-3.55,143.63,78.17,84.72,87,1009,5.7,87
Te Anau,-45.42,167.72,52.03,50.85,88,1018,1.59,100
Hasaki,35.73,140.83,30.69,23.52,56,1021,3.36,75
Norman Wells,65.28,-126.83,-18.4,-31.76,75,1006,11.41,20
Chiradzulu,-15.67,35.14,65.68,67.82,97,1012,5.44,98
Lorengau,-2.02,147.27,82.74,86.31,78,1008,12.24,69
Guangyuan,32.44,105.82,36.5,27.54,89,857,10.0,86
Batagay-Alyta,67.8,130.41,-26.54,-34.49,83,1028,1.68,48
Tieli,46.95,128.05,-21.26,-30.39,87,1032,3.89,84
Ilhabela,-23.78,-45.36,76.51,82.09,81,1012,3.85,51
Zaria,11.11,7.72,75.61,67.1,19,1011,8.37,0
Nanortalik,60.14,-45.24,27.12,18.03,96,1022,8.41,99
Lere,10.39,8.57,72.28,66.25,23,1010,4.45,0
Boguchany,58.38,97.45,-30.15,-38.88,79,1056,3.0,65
Vanavara,60.34,102.28,-34.01,-44.46,81,1051,6.02,97
Yar-Sale,66.83,70.83,-18.89,-33.09,86,1047,12.97,1
Nantucket,41.28,-70.1,41.95,28.45,75,1010,18.34,90
Kiryat Gat,31.61,34.76,62.64,59.74,57,1014,4.0,80
Port Blair,11.67,92.75,79.61,82.76,78,1009,9.93,5
Hofn,64.25,-15.21,37.71,29.14,72,1025,8.25,100
Bredasdorp,-34.53,20.04,69.8,70.39,88,1010,9.17,52
Presidencia Roque Sáenz Peña,-26.79,-60.44,88.92,89.87,39,1004,4.59,100
Ust-Kuyga,70.02,135.6,-37.3,-49.56,79,1028,9.17,63
Broome,42.25,-75.83,32.79,25.75,92,1013,5.82,90
Bathsheba,13.22,-59.52,77.0,76.3,83,1011,16.11,75
Russell,32.35,-85.2,60.1,54.79,36,1017,3.36,1
Buinsk,54.95,48.28,26.6,17.04,92,1036,8.95,90
Chërnaya Kholunitsa,58.85,51.72,18.0,10.33,98,1037,4.36,92
Rio Grande,-32.03,-52.1,83.44,73.69,45,1008,23.04,20
Isangel,-19.55,169.27,82.4,91.62,88,1008,5.82,75
Karratha,-20.74,116.85,84.97,81.41,38,1004,9.93,17
Rocha,-34.48,-54.33,78.06,73.83,64,1009,16.8,100
Arroio Grande,-32.24,-53.09,80.37,76.82,57,1008,14.72,100
Urengoy,65.97,78.37,-20.83,-33.2,85,1052,9.64,0
Mēga,4.05,38.3,61.86,57.61,67,1011,8.05,99
Heraclea,37.51,34.05,40.87,36.88,66,1021,0.36,84
Salalah,17.02,54.09,69.8,69.98,68,1016,4.7,20
Dikson,73.51,80.55,-8.55,-28.55,91,1030,23.67,100
Manicoré,-5.81,-61.3,82.92,88.48,67,1005,4.43,48
Pindi Bhattian,31.9,73.27,57.63,56.17,94,1013,5.88,43
Saskylakh,71.92,114.08,2.8,-10.61,92,1023,12.68,96
Ternate,0.8,127.4,79.92,85.19,81,1007,7.54,97
Comodoro Rivadavia,-45.87,-67.5,66.2,54.75,37,1022,16.11,0
Ayapel,8.31,-75.14,87.01,94.33,64,1007,3.69,29
Eskişehir,39.78,30.52,38.34,30.33,80,1017,8.05,0
Capiíbary,-24.8,-56.03,75.29,79.07,81,1005,5.99,61
At-Bashi,41.17,75.81,5.4,-1.84,52,1035,1.12,0
Berlevåg,70.86,29.09,36.54,22.48,80,1025,18.34,75
Gusino,54.72,31.37,33.31,26.55,96,1026,5.75,100
Grand-Santi,4.25,-54.38,78.01,86.79,92,1008,3.31,91
City of San Pedro,14.35,121.02,76.64,84.22,94,1011,4.7,75
Lüderitz,-26.65,15.16,71.6,73.76,73,1010,3.67,0
Alice Springs,-23.7,133.88,74.64,73.89,56,1012,5.82,90
Tekkali,18.62,84.23,64.76,63.34,69,1013,4.92,95
Asău,46.43,26.4,44.01,38.91,78,1010,4.29,100
Buala,-8.14,159.59,83.52,89.42,69,1009,5.17,99
Åkersberga,59.48,18.3,33.31,27.48,95,1028,4.0,99
San Patricio,28.02,-97.52,74.62,75.18,60,1017,4.7,1
Coahuayana Viejo,18.73,-103.68,84.2,84.25,45,1017,6.06,20
Mossamedes,-15.2,12.15,72.66,75.11,73,1013,3.91,95
Kabanjahe,3.1,98.49,77.0,86.67,100,1008,3.36,40
Havre-St-Pierre,50.23,-63.6,26.6,19.81,79,1021,3.36,90
Okahandja,-21.98,16.92,69.89,72.1,68,1019,1.12,98
Miami Beach,25.79,-80.13,73.09,67.62,38,1016,8.05,75
